2025-11-12 11:11:03.346879: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

========================================
 Verificando disponibilidad de GPU (PyTorch)...
========================================
✅ ¡Éxito! GPU disponible.
   Dispositivos encontrados: 1
   Usando dispositivo 0: NVIDIA GeForce RTX 2060 with Max-Q Design
  0%|          | 0/1000 [00:00<?, ?it/s]  0%|          | 1/1000 [00:02<38:36,  2.32s/it]  Episode 1, Step 10, Buffer Size: 10, Avg Loss: 0.0000, Reward: -427
  Episode 1, Step 920, Buffer Size: 920, Avg Loss: 48.2769, Reward: -47666
  Episode 1, Step 930, Buffer Size: 930, Avg Loss: 47.2522, Reward: -47994
  Episode 1, Step 940, Buffer Size: 940, Avg Loss: 48.5655, Reward: -48201
  Episode 1, Step 950, Buffer Size: 950, Avg Loss: 50.0326, Reward: -48320
  Episode 1, Step 960, Buffer Size: 960, Avg Loss: 52.3946, Reward: -48890
  Episode 1, Step 970, Buffer Size: 970, Avg Loss: 49.5328, Reward: -49548
  Episode 1, Step 980, Buffer Size: 980, Avg Loss: 49.3988, Reward: -50085
  Episode 1, Step 990, Buffer Size: 990, Avg Loss: 48.7822, Reward: -50325
  Episode 1, Step 1000, Buffer Size: 1000, Avg Loss: 50.7741, Reward: -50675
Episode 1 DONE - Total Reward: -50675, Total Steps: 1000, Final Buffer Size: 1000, Avg Loss: 46.4417
  Episode 2, Step 10, Buffer Size: 1010, Avg Loss: 46.0727, Reward: -559
  Episode 2, Step 20, Buffer Size: 1020, Avg Loss: 50.1405, Reward: -909
  Episode 2, Step 30, Buffer Size: 1030, Avg Loss: 47.2911, Reward: -1226
  Episode 2, Step 40, Buffer Size: 1040, Avg Loss: 49.6592, Reward: -1543
  Episode 2, Step 50, Buffer Size: 1050, Avg Loss: 46.6354, Reward: -2311
  Episode 2, Step 60, Buffer Size: 1060, Avg Loss: 49.1122, Reward: -2540
  Episode 2, Step 70, Buffer Size: 1070, Avg Loss: 45.5971, Reward: -2989
  Episode 2, Step 80, Buffer Size: 1080, Avg Loss: 47.7693, Reward: -3658
  Episode 2, Step 90, Buffer Size: 1090, Avg Loss: 46.8149, Reward: -4426  0%|          | 2/1000 [00:04<42:04,  2.53s/it]
  Episode 2, Step 100, Buffer Size: 1100, Avg Loss: 48.0629, Reward: -4985
  Episode 2, Step 110, Buffer Size: 1110, Avg Loss: 48.7121, Reward: -5423
  Episode 2, Step 120, Buffer Size: 1120, Avg Loss: 47.0569, Reward: -6180
  Episode 2, Step 130, Buffer Size: 1130, Avg Loss: 46.1037, Reward: -6508
  Episode 2, Step 140, Buffer Size: 1140, Avg Loss: 48.8278, Reward: -7067
  Episode 2, Step 150, Buffer Size: 1150, Avg Loss: 49.8438, Reward: -7395
  Episode 2, Step 160, Buffer Size: 1160, Avg Loss: 51.4768, Reward: -7954
  Episode 2, Step 170, Buffer Size: 1170, Avg Loss: 47.8364, Reward: -8282
  Episode 2, Step 180, Buffer Size: 1180, Avg Loss: 47.3874, Reward: -8522
  Episode 2, Step 190, Buffer Size: 1190, Avg Loss: 47.4306, Reward: -8894
  Episode 2, Step 200, Buffer Size: 1200, Avg Loss: 46.1378, Reward: -9442
